Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;...10;...11;...12;...13;...14;...15;...16;...17;...18;...19;...20
INS_Instelling;Instellingscode;TRUE;subset;9232413;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Versie_1CHO_jaar;NA;FALSE;numeric;9201656;1817,1;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Studentnummer;persoonsgebonden_nummer;TRUE;numeric;9201656;1;9999999;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inschrijvingsjaar;inschrijvingsjaar;TRUE;numeric;9201656;1809;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inschrijvingsjaar_EI;eerste_jaar_aan_deze_instelling;TRUE;numeric;9945008;1788,3;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Studierichting_SAP_numeriek;NA;FALSE;numeric;9232413;45039211,2;57085083;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_1CHO_code;soort_inschrijving_hoger_onderwijs;TRUE;numeric;9201656;0,9;55;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_actuele_instelling;soort_inschrijving_actuele_instelling;TRUE;numeric;9201656;0,9;55;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Opleidingsfase_actueel_code;opleidingsfase_actueel;TRUE;subset;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_actief_op_peildatum_code;indicatie_actief_op_peildatum;TRUE;numeric;9201656;0,9;44;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_Code_in_jaar;opleiding_actueel_equivalent;TRUE;numeric;9201656;5000;80000;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Opleidingsnaam_2002;NA;FALSE;character;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerste_jaars_opleiding;IndicatieEerstejaarsOpleidingActueelEquivalent;TRUE;numeric;9201656;0,9;55;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerste_jaars_instelling;indicatie_eerstejaars_actuele_instelling;TRUE;numeric;9201656;0,9;55;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerste_jaars_opleiding_en_instelling;indicatie_eerstejaars_actuele_opl_instelling;TRUE;numeric;9201656;0,9;55;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inschrijvingsjaar_EOI;eerste_jaar_aan_deze_opleiding_instelling;TRUE;numeric;9201656;1783,8;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Eerste_jaar_hoger_onderwijs;eerste_jaar_in_het_hoger_onderwijs;TRUE;numeric;9201656;1767,6;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Eerste_jaar_soort_hoger_onderwijs;eerste_jaar_aan_deze_soort_hoger_onderwijs;TRUE;numeric;9201656;1767,6;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_code;hoogste_vooropleiding_voor_het_ho_oorspronkelijke_code;TRUE;numeric;11878679;96,3;5566;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_jaar;diplomajaar_van_de_hoogste_vooropl_voor_het_ho;TRUE;numeric;67106358;1770,3;22198;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_cat;hoogste_vooropleiding_voor_het_ho;TRUE;subset;19201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_BRIN;instelling_van_de_hoogste_vooropl_binnen_het_ho;TRUE;character;25941638;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_binnen_HO_code;hoogste_vooropleiding_binnen_het_ho;TRUE;numeric;67106358;540;14894;NA;FALSE;gekke naam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_binnen_HO_jaar;diplomajaar_van_de_hoogste_vooropl_binnen_het_ho;TRUE;numeric;67106358;1770,3;22198;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_binnen_HO_cat;NA;FALSE;subset;67106358;NA;NA;NA;FALSE;INS_Vooropleiding_binnen_HO_soort, zit dit in mapping table;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_binnen_HO_BRIN;instelling_van_de_hoogste_vooropl_voor_het_ho;TRUE;character;68422102;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Hoogste_vooropleiding_code_1CHO;hoogste_vooropleiding;TRUE;numeric;11269539;114,3;14894;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Hoogste_vooropleiding_jaar_1CHO;diplomajaar_hoogste_vooropleiding;TRUE;numeric;11270338;1766,7;22198;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Hoogste_vooropleiding_cat;NA;FALSE;subset;119201656;NA;NA;NA;FALSE;INS_Hoogste_vooropleiding_soort_1CHO, zit dit in mapping table;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Hoogste_vooropleiding_BRIN_1CHO;instelling_van_de_hoogste_vooropleiding;TRUE;character;21882964;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaren_hoger_onderwijs;verblijfsjaar_hoger_onderwijs;TRUE;numeric;15040618;0,9;396;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaren_wetenschappelijk_onderwijs;verblijfsjaar_soort_ho;TRUE;numeric;15040618;0,9;396;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inclusief_UvA;NA;FALSE;subset;9201656;NA;NA;NA;FALSE;wat doen we hier mee?;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Premaster;NA;FALSE;subset;9201656;NA;NA;NA;FALSE;vanaf 2020 zitten schakelprogramma's erin, historisch niet, nanny code waarschijnlijk premaster;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_binnen_HO_oorspronkelijke_code;hoogste_vooropleiding_binnen_het_ho_oorspronkelijke_code;TRUE;integer;67106358;468;89100;NA;FALSE;Hoogste uit naam gehaald;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Faculteit;NA;FALSE;subset;9201656;NA;NA;[A-Z]{2};FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Opleidingsvorm_code;opleidingsvorm;TRUE;subset;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Code_bekostiging;BekostigingsCode;TRUE;subset;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Examenresultaat_code;code_examenresultaat;TRUE;numeric;92377902;0,9;99;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_croho_onderdeel_code;croho_onderdeel_actuele_opleiding;TRUE;numeric;125729;0,9;99;NA;FALSE;dit was: INS_Opleidingscode_CROHO, heel verwarrende naam, het is croho onderdeel code;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Code_beeindiging_inschrijving;BeeindigingsCode;TRUE;numeric;9201656;0;99;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Type_onderwijs;type_hoger_onderwijs_binnen_soort_hoger_onderwijs;TRUE;subset;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diplomajaar;diplomajaar;TRUE;numeric;92377902;1808,1;22209;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diploma_opleidingsfase;opleidingsfase_actueel_van_het_diploma;TRUE;subset;92377902;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diploma_eerste;soort_diploma_hoger_onderwijs_internat_statistiek;TRUE;numeric;92377902;0,9;22;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diploma_eerste_in_categorie;soort_diploma_hoger_onderwijs;TRUE;numeric;92377902;2,7;99;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diploma_eerste_in_categorie_hoofd_neven;soort_diploma_soort_hoger_onderwijs;TRUE;numeric;92377902;2,7;99;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Diploma_eerste_bij_instelling_hoofd_neven;soort_diploma_instelling;TRUE;numeric;92377902;2,7;99;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Geslacht_code;geslacht;TRUE;subset;9201656;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Leeftijd_peildatum_1_oktober;leeftijd_per_peildatum_1_oktober;TRUE;numeric;9201656;12,6;88;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Leeftijd_peildatum_1_jan;leeftijd_per_1_januari;TRUE;numeric;9201656;12,6;88;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_1;nationaliteit_1;TRUE;numeric;9279147;0,9;5489;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_2;nationaliteit_2;TRUE;numeric;103681554;24,3;5489;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_3;nationaliteit_3;TRUE;integer;119031497;26,1;550;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Postcode_student_1okt_peildatum;postcodecijfers_student_op_1_oktober;TRUE;integer;9800412;9;109736;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vooropleiding_voor_HO_gem_cijfer;gem_eindcijfer_vo_van_de_hoogste_vooropl_voor_het_ho;TRUE;numeric;37923932;51,3;1045;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Datum_inschrijving;datum_inschrijving;TRUE;character;9201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Datum_uitschrijving;datum_uitschrijving;TRUE;character;9201656;NA;NA;^[0-9]{1,2}[\/-][0-9]{1,2}[\/-][0-9]{4}$;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_type_onderwijs_binnen_HO;verblijfsjaar_type_ho_binnen_soort_ho;TRUE;numeric;15040618;0,9;274;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Postcode_student_voor_HO;postcodecijfers_van_de_hoogste_vooropl_voor_het_ho;TRUE;integer;29360814;9;109967;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Maand_inschrijving_van;maand_vanaf;TRUE;numeric;9201656;0,9;132;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Maand_inschrijving_tot;maand_tot;TRUE;numeric;107018845;0,9;132;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Maand_examenresultaat;maand_examenresultaat;TRUE;numeric;92377902;0,9;132;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Croho_sub_onderdeel;croho_subonderdeel_actuele_opleiding;TRUE;numeric;9201656;1,8;396;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_type_onderwijs;verblijfsjaar_type_ho_binnen_soort_ho;TRUE;numeric;15040618;0,9;242;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_EER_naam;NA;FALSE;subset;0;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Indicatie_nationaliteit_EER_actueel;indicatie_eer_actueel;TRUE;character;0;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Indicatie_nationaliteit_EER_peildatum;indicatie_eer_op_peildatum_1_oktober;TRUE;character;0;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Indicatie_internationale_student;indicatie_internationale_student;TRUE;character;0;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Actuele_instelling;actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inschrijvingsvorm
INS_Opleidingscode;opleidingscode;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SoortHogerOnderwijs
INS_Vorm;inschrijvingsvorm;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_hoger_onderwijs;soort_hoger_onderwijs;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;DiplomajaarVanDeHoogsteVooroplBinnenHetHo
OPL_code_historisch;opleiding_historisch_equivalent;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;GeboortelandOuder1
OPL_Fase;opleidingsfase;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;GeboortelandOuder2
INS_Soort_inschrijving_soort_HO;soort_inschrijving_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Etniciteit
INS_Soort_inschrijvinge_type_HO_binnen_soort_HO;soort_inschrijving_type_ho_binnen_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Generatie
INS_Soort_inschrijving_opleiding_actueel;soort_inschrijving_opleiding_actueel_equivalent;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SoortDiplomaHogerOnderwijsInternatStatistiek
INS_Soort_inschrijving_actuele_opleiding_instelling;soort_inschrijving_actuele_opleiding_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SoortDiplomaHogerOnderwijs
DEM_Geboorteland;geboorteland;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SoortDiplomaSoortHogerOnderwijs
DEM_Geboorteland_ouder_1;geboorteland_ouder_1;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SoortDiplomaInstelling
DEM_Geboorteland_ouder_2;geboorteland_ouder_2;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;DatumTekeningDiploma
DEM_Etniciteit;etniciteit;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Generatie;generatie;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inschrijvingsjaar_EI_gecorrigeerd;gecorrigeerd_eerste_jaar_aan_deze_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Inschrijvingsjaar_EI_actuele_instelling;eerste_jaar_aan_deze_actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_actuele_instelling_type_HO_binnen_soort_HO;soort_inschrijving_act_inst_type_ho_binnen_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerstejaar_actuele_instelling_type_HO_binnen_soort_HO;indicatie_eerstejrs_act_inst_type_ho_binnen_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_Actuele_instelling_voor_besturenfusies;actuele_instelling_voor_besturenfusies;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_type_HO_binnen_HO;soort_inschrijving_type_ho_binnen_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_type_HO_binnen_HO;verblijfsjaar_type_ho_binnen_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_continu_HO;soort_inschrijving_continu_hoger_onderwijs;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_continu_soort_HO;soort_inschrijving_continu_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_continu_actuele_instelling;soort_inschrijving_continu_actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_continu_type_HO_binnen_HO;soort_inschrijving_continu_type_ho_binnen_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerstejaars_continu_HO;indicatie_eerstejaars_continu_hoger_onderwijs;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerstejaars_continu_soort_HO;indicatie_eerstejaars_continu_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerstejaars_continu_actuele_instelling;indicatie_eerstejaars_continu_actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerstejaars_continu_type_HO_binnen_HO;indicatie_eerstejaars_continu_type_ho_binnen_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_Indicatie_soort_programma;indicatie_soort_programma;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer;vestigingsnummer;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Datum_tekening_diploma;datum_tekening_diploma;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_Diploma;vestigingsnummer_diploma;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_actueel;vestigingsnummer_actueel;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_actueel_diploma;vestigingsnummer_actueel_diploma;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_van_hoogste_vooropleiding_voor_HO;vestigingsnummer_van_de_hoogste_vooropl_voor_het_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_van_Hoogste_vooropleiding_binnen_HO;vestigingsnummer_van_de_hoogste_vooropl_binnen_het_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vestigingsnummer_van_Hoogste_vooropleiding;vestigingsnummer_van_de_hoogste_vooropleiding;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_actueel;nationaliteit_gebruikt_voor_bepaling_ind_eer_actueel;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Nationaliteit_gebruikt_voor_bepaling_indicatie_EER_peildatum;nationaliteit_gebruikt_voor_bepaling_ind_eer_peildatum;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_actuele_opleiding;verblijfsjaar_actuele_opleiding;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_actuele_instelling;verblijfsjaar_actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_actuele_opleiding_instelling;verblijfsjaar_actuele_opleiding_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_actuele_instelling_type_HO_binnen_soort_HO;verblijfsjaar_act_inst_type_ho_binnen_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_continu_HO;verblijfsjaar_continu_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Vverblijfsjaar_continu_soort_HO;verblijfsjaar_continu_soort_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verblijfsjaar_continu_actuele_instelling;verblijfsjaar_continu_actuele_instelling;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INS_Verbliijfsjaar_continu_type_HO_binnen_HO;verblijfsjaar_continu_type_ho_binnen_ho;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_Indicatie_University_College;indicatie_university_college;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OPL_ISCEDF_2013_rubriek;iscedf2013_rubriek;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Herkomst_land_volgens_CBS;herkomstland_volgens_cbs_definitie;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Herkomst_indikking_volgens_CBS;herkomst_indikking_volgens_cbs_definitie;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Indicatie_geboren;indicatie_geboren;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Burgerservicenummer;burgerservicenummer;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
DEM_Onderwijsnummer;onderwijsnummer;TRUE;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
